+ABsAWw-0m+AFs- INFO+AF0- +AFs-1603723800.248204786, 18.846000000+AF0-: Latency, cones,0.001,5
+ABsAWw-0m+AFs- INFO+AF0- +AFs-1603723800.348607783, 18.938000000+AF0-: Latency, cones,0.001,5
+ABsAWw-0m+AFs- INFO+AF0- +AFs-1603723800.466746533, 19.040000000+AF0-: Latency, cones,0,5
+ABsAWw-0m+AFs- INFO+AF0- +AFs-1603723800.584002243, 19.145000000+AF0-: Latency, cones,0,5
+ABsAWw-0m+AFs- INFO+AF0- +AFs-1603723800.707357236, 19.250000000+AF0-: Latency, cones,0,5
+ABsAWw-0m+AFs- INFO+AF0- +AFs-1603723800.811511456, 19.346000000+AF0-: Latency, cones,0,5
+ABsAWw-0m+AFs- INFO+AF0- +AFs-1603723800.920131702, 19.435000000+AF0-: Latency, cones,0,5
+ABsAWw-0m+AFs- INFO+AF0- +AFs-1603723801.051206566, 19.564000000+AF0-: Latency, cones,0,5
+ABsAWw-0m+AFs- INFO+AF0- +AFs-1603723801.127323872, 19.632000000+AF0-: Latency, cones,0,5
+ABsAWw-0m+AFs- INFO+AF0- +AFs-1603723801.248548156, 19.751000000+AF0-: Latency, cones,0,5
+ABsAWw-0m+AFs- INFO+AF0- +AFs-1603723801.350693119, 19.844000000+AF0-: Latency, cones,0,5
+ABsAWw-0m+AFs- INFO+AF0- +AFs-1603723801.455245524, 19.933000000+AF0-: Latency, cones,0,5
+ABsAWw-0m+AFs- INFO+AF0- +AFs-1603723801.584201515, 20.049000000+AF0-: Latency, cones,0,5
+ABsAWw-0m+AFs- INFO+AF0- +AFs-1603723801.728831919, 20.176000000+AF0-: Latency, cones,0,5
+ABsAWw-0m+AFs- INFO+AF0- +AFs-1603723801.801059070, 20.236000000+AF0-: Latency, cones,0,5
+ABsAWw-0m+AFs- INFO+AF0- +AFs-1603723801.935321291, 20.348000000+AF0-: Latency, cones,0,5
+ABsAWw-0m+AFs- INFO+AF0- +AFs-1603723802.072217162, 20.476000000+AF0-: Latency, cones,0,5
+ABsAWw-0m+AFs- INFO+AF0- +AFs-1603723802.145618597, 20.545000000+AF0-: Latency, cones,0,5
+ABsAWw-0m+AFs- INFO+AF0- +AFs-1603723802.245223056, 20.635000000+AF0-: Latency, cones,0,5
+ABsAWw-0m+AFs- INFO+AF0- +AFs-1603723802.359728225, 20.728000000+AF0-: Latency, cones,0,5
+ABsAWw-0m+AFs- INFO+AF0- +AFs-1603723802.500771270, 20.844000000+AF0-: Latency, cones,0,5
+ABsAWw-0m+AFs- INFO+AF0- +AFs-1603723802.623931250, 20.954000000+AF0-: Latency, cones,0,5
+ABsAWw-0m+AFs- INFO+AF0- +AFs-1603723802.724471712, 21.044000000+AF0-: Latency, cones,0,5
+ABsAWw-0m+AFs- INFO+AF0- +AFs-1603723802.831820676, 21.146000000+AF0-: Latency, cones,0,5
+ABsAWw-0m+AFs- INFO+AF0- +AFs-1603723802.964638783, 21.265000000+AF0-: Latency, cones,0.001,5
+ABsAWw-0m+AFs- INFO+AF0- +AFs-1603723803.046781154, 21.333000000+AF0-: Latency, cones,0,5
